sdm,target,layer,r2_test
sdm-dvector,sdm-w2v2-asr,12,-0.22779011726379395
sdm-dvector,sdm-w2v2-asr,13,-0.21610671281814575
sdm-dvector,sdm-w2v2-asr,14,-0.16162502765655518
sdm-dvector,sdm-w2v2-asr,15,-0.16705812513828278
sdm-dvector,sdm-w2v2-asr,16,-0.2271183580160141
sdm-dvector,sdm-w2v2-asr,17,-0.22888486087322235
sdm-dvector,sdm-w2v2-asr,18,-0.27687740325927734
sdm-dvector,sdm-w2v2-asr,19,-0.3075644373893738
sdm-dvector,sdm-w2v2-asr,20,-0.33301395177841187
sdm-dvector,sdm-w2v2-asr,21,-0.4490232467651367
sdm-dvector,sdm-w2v2-asr,22,-0.5170465707778931
sdm-dvector,sdm-w2v2-asr,23,-0.6619186401367188
sdm-dvector,sdm-w2v2-asr,24,0.2276187688112259
sdm-dvector,sdm-emotion2vec,0,-0.20404954254627228
sdm-dvector,sdm-emotion2vec,1,-0.46656104922294617
sdm-dvector,sdm-emotion2vec,2,-0.519810140132904
sdm-dvector,sdm-emotion2vec,3,-0.5991653800010681
sdm-dvector,sdm-emotion2vec,4,-0.6753522753715515
sdm-dvector,sdm-emotion2vec,5,-0.7845640182495117
sdm-dvector,sdm-emotion2vec,6,-0.7329705357551575
sdm-dvector,sdm-emotion2vec,7,-0.6575245261192322
sdm-dvector,sdm-emotion2vec,8,-0.643076479434967
sdm-dvector,sdm-emotion2vec,9,-0.6092085242271423
sdm-dvector,sdm-emotion2vec,10,-0.5739932656288147
sdm-dvector,sdm-emotion2vec,11,-0.5152967572212219
sdm-dvector,sdm-emotion2vec,12,-0.5527432560920715
sdm-dvector,sdm-emotion2vec,13,-0.505269467830658
sdm-dvector,sdm-emotion2vec,14,-0.5219714045524597
sdm-dvector,sdm-emotion2vec,15,-0.5064578652381897
sdm-dvector,sdm-emotion2vec,16,-0.5507669448852539
sdm-dvector,sdm-emotion2vec,17,-0.6026985049247742
sdm-dvector,sdm-emotion2vec,18,-0.6950591206550598
sdm-dvector,sdm-emotion2vec,19,-0.799876868724823
sdm-dvector,sdm-emotion2vec,20,-0.845795214176178
sdm-dvector,sdm-emotion2vec,21,-0.9574918746948242
sdm-dvector,sdm-emotion2vec,22,-1.1088237762451172
sdm-dvector,sdm-emotion2vec,23,-1.2586721181869507
sdm-dvector,sdm-emotion2vec,24,0.08579593151807785
sdm-mpm,sdm-xlsr-fairseq,0,-0.008619769476354122
sdm-mpm,sdm-xlsr-fairseq,1,-0.1817747950553894
sdm-mpm,sdm-xlsr-fairseq,2,-0.20270974934101105
sdm-mpm,sdm-xlsr-fairseq,3,-0.2563701868057251
